site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring,Land,lat_start,lat_stop,long_start,long_stop
181,Forestry cave,-9.489,159.974,200,unknown,unknown,no,Salomonen,159,160,200,200
182,Kotumsar cave,19,82,32,unknown,Precambrian,no,Indien,82,82,32,32
183,Dos Anas cave,22.38,-83.97,120,mixed,Jurassic,yes,Kuba,-83,-84,120,120
184,Cape range,-22.1,114,100,unknown,unknown,no,Australien,114,114,100,100
185,Beatus cave,46.38,7.49,875,limestone,Cretaceous,unknown,Schweiz,7,8,875,875
186,Bribin cave,-8.05,110.633,500,limestone,Miocene,no,Indonesien,110,111,500,500
187,Cesare Battisti cave,46.08,11.02,1880,limestone,Jurassic,yes,Italien,11,12,1880,1880
188,Chan Hol cave,20.16,-87.57,-8.5,limestone,Pliocene,no,Mexiko,-87,-88,-8,-9
189,Chen Ha cave,16.6769,-89.0925,550,limestone,Cretaceous,no,Belize,-89,-90,550,550
190,Cold Water cave,43.4678,-91.975,356,dolomite,Ordovician,unknown,"Iowa, USA",-91,-92,356,356
191,Devil's Icebox cave,38.15,-92.05,250,limestone,Carboniferous,unknown,"Missouri, USA",-92,-93,250,250
192,El Condor cave,-5.93,-77.3,860,unknown,unknown,unknown,Peru,-77,-78,860,860
193,Frasassi cave system - Grotta Grande del Vento,43.4008,12.9619,257,limestone,Jurassic,yes,Italien,12,13,257,257
194,Goshute cave,40.0333,-114.7833,2000,unknown,unknown,unknown,"Nevada, USA",-114,-115,2000,2000
195,Harrison's cave,13.2,-59.6,300,limestone,Pleistocene,yes,Barbados,-59,-60,300,300
196,Karaca cave,40.5443,39.4029,1536,limestone,Cretaceous,no,Türkei,39,40,1536,1536
197,Klaus Cramer cave,47.26,9.52,1964,limestone,Cretaceous,unknown,Schweiz,9,10,1964,1964
198,Lianhua,29.48,109.53,455,limestone,Ordovician,no,China,109,110,455,455
199,Lynds cave,-41.58,146.25,300,limestone,Ordovician,no,Australien,146,147,300,300
200,Minnetonka cave,56.5833,-119.65,2347,limestone,Palaeocene,yes,Kanada,-119,-120,2347,2347
201,Moondyne cave,-34.27,115.08,100,limestone,Pleistocene,no,Australien,115,116,100,100
202,Piani Eterni karst system,46.16,11.99,1893,mixed,Jurassic,no,Italien,11,12,1893,1893
203,Poleva cave,44.7144,21.7469,390,limestone,Cretaceous,no,Rumänien,21,22,390,390
204,Xibalba cave,16.5,-89,350,limestone,Cretaceous,unknown,Belize,-89,-89,350,350
205,São Bernardo cave,-13.81,-46.35,631,unknown,unknown,yes,Brasilien,-46,-47,631,631
206,São Matheus cave,-13.81,-46.35,631,unknown,unknown,no,Brasilien,-46,-47,631,631
207,Shatuca cave,-5.7,-77.9,1960,limestone,Triassic,no,Peru,-77,-78,1960,1960
208,Tangga cave,-0.36,100.76,600,mixed,Permian,no,Indonesien,100,101,600,600
209,Uluu-Too cave,40.4,72.35,1490,limestone,Devonian,yes,Kirgisistan,72,73,1490,1490
210,White moon cave,37,-122.183,170,marble,Permian,yes,"Kalifornien, USA",-122,-123,170,170
211,Xiangshui cave,25.25,110.92,380,limestone,Devonian,unknown,China,110,111,380,380
212,Peqiin cave,32.58,35.19,650,limestone,Cretaceous,unknown,Israel,35,36,650,650
